City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Rain inches (past 3 hours),Snow inches (past 3 hours)
77,Vaini,TO,-21.2,-175.2,84.2,84.2,83,75,16.11,0,0
78,Yumen,CN,40.28,97.2,44.55,44.55,50,92,15.43,0,0
79,Noumea,NC,-22.28,166.46,75.0,68.0,82,90,2.24,0,0
80,Souillac,MU,-20.52,57.52,75.2,75.2,78,40,9.17,0,0
81,Naze,JP,28.37,129.48,73.4,73.4,94,75,10.29,0,0
82,Codrington,AU,-38.27,141.97,48.29,48.29,80,85,9.46,0,0
83,Butaritari,KI,3.07,172.79,83.3,83.3,81,7,10.18,0,0
84,Georgetown,MY,5.41,100.34,80.6,80.01,100,40,3.36,0,0
85,Chicama,PE,-7.84,-79.15,69.8,69.8,83,66,12.75,0,0
86,Shimoni,KE,-4.65,39.38,80.47,80.47,74,75,17.52,0,0
87,Tagusao,PH,9.19,117.81,82.09,82.09,77,99,3.18,0,0
88,Qaanaaq,GL,77.48,-69.36,10.92,10.92,84,73,3.76,0,0
89,Bagli,IN,22.65,76.35,84.69,84.69,24,7,16.93,0,0
90,Kodiak,US,57.79,-152.41,44.6,44.6,93,90,5.82,0,0
91,Normandin,CA,48.83,-72.53,33.8,33.8,59,75,23.04,0,0
92,Nikolskoye,RU,59.7,30.79,41.0,37.99,64,19,4.47,0,0
93,Abu Samrah,SY,35.3,37.18,60.26,60.26,69,0,20.45,0,0
94,Kimbe,PG,-5.55,150.14,85.66,85.66,69,25,2.33,0,0
95,Seoul,KR,37.57,126.98,57.2,55.4,100,90,2.24,0,0
96,Avera,US,33.19,-82.53,68.0,64.99,34,1,8.05,0,0
97,Fairbanks,US,64.84,-147.72,71.01,68.0,24,1,4.7,0,0
98,Yulara,AU,-25.24,130.99,53.6,53.6,54,81,10.29,0,0
99,Rongcheng,CN,30.63,117.85,64.87,64.87,77,25,1.32,0,0
100,Homer,US,59.64,-151.55,57.2,51.8,44,75,6.93,0,0
101,Clarin,PH,8.2,123.86,82.83,82.83,68,100,2.73,0,0
102,East London,ZA,-33.02,27.91,65.32,65.32,75,10,6.22,0,0
103,Talnakh,RU,69.49,88.4,30.2,30.2,86,75,17.9,0,0
104,Longyearbyen,SJ,78.22,15.64,17.6,17.6,57,20,12.75,0,0
105,Tocopilla,CL,-22.09,-70.2,64.69,64.69,66,60,6.58,0,0
106,Rabo De Peixe,PT,37.8,-25.58,62.6,62.6,88,75,16.11,0,0
107,Ust-Kuyga,RU,70.02,135.6,30.02,30.02,97,100,5.37,0,0
108,Klaksvik,FO,62.23,-6.59,30.2,30.2,68,63,16.11,0,0
109,Odweyne,SO,9.41,45.06,75.43,75.43,64,56,4.18,0,0
110,Ostrovnoy,RU,68.05,39.51,33.96,33.96,93,100,5.5,0,0
111,Nioro,GM,13.35,-15.75,74.19,74.19,66,60,9.8,0,0
112,Wanning,CN,18.8,110.4,80.78,80.78,90,19,10.27,0,0
113,Mahuva,IN,21.09,71.76,80.29,80.29,62,0,7.38,0,0
114,Garden City,US,42.33,-83.33,53.01,48.99,27,75,20.8,0,0
115,Avarua,CK,-21.21,-159.78,82.4,82.4,78,16,17.22,0,0
116,Hofn,IS,64.25,-15.21,31.78,31.78,81,64,9.48,0,0
117,Tondi,IN,9.73,79.02,85.59,85.59,75,99,6.96,0,0
118,Port Elizabeth,ZA,-33.92,25.57,60.8,60.8,93,0,4.7,0,0
119,Salalah,OM,17.02,54.09,82.4,82.4,83,20,3.36,0,0
120,Hai Duong,VN,20.93,106.32,82.4,80.6,88,20,6.93,0,0
121,Komsomolskiy,UZ,40.43,71.72,62.6,62.6,67,31,9.17,0,0
122,Natchitoches,US,31.77,-93.13,69.8,69.8,40,1,10.29,0,0
123,Bengkulu,ID,-3.8,102.27,76.77,76.77,88,100,4.21,0,0
124,Saint-Georges,GD,12.06,-61.75,82.4,82.4,78,40,14.99,0,0
125,Arraial Do Cabo,BR,-22.97,-42.03,69.8,64.4,77,0,4.7,0,0
126,Norman Wells,CA,65.28,-126.83,46.4,46.4,52,5,16.11,0,0
127,Ribeira Grande,PT,38.52,-28.7,63.97,63.97,91,95,23.35,0,0
128,Esperance,AU,-33.87,121.9,46.4,46.4,81,0,13.87,0,0
129,Osakarovka,KZ,50.56,72.57,56.53,56.53,47,83,15.68,0,0
130,Aitape,PG,-3.14,142.35,84.4,84.4,72,25,3.27,0,0
131,Wiwili,NI,13.63,-85.83,85.32,85.32,59,100,6.67,0,0
132,Nome,US,64.5,-165.41,46.4,44.01,65,1,21.92,0,0
133,Ipixuna,BR,-1.76,-48.8,78.8,78.8,88,75,2.24,0,0
134,Saskylakh,RU,71.92,114.08,22.33,22.33,97,100,10.78,0,0
135,Torbay,CA,47.67,-52.73,48.0,44.01,93,90,31.09,0,0
136,Saint-Philippe,RE,-21.36,55.77,69.8,61.0,73,20,8.05,0,0
137,Hithadhoo,MV,-0.6,73.08,84.33,84.33,78,89,12.91,0,0
138,Ourossogui,SN,15.61,-13.32,102.2,102.2,22,96,4.7,0,0
139,Atuona,PF,-9.8,-139.03,80.73,80.73,78,45,19.19,0,0
140,Bathsheba,BB,13.22,-59.52,80.6,80.6,69,40,19.46,0,0
141,Fortuna,US,40.6,-124.16,63.0,60.8,82,1,13.87,0,0
142,Salinopolis,BR,-0.61,-47.36,79.92,79.92,84,55,9.22,0,0
143,Ekhabi,RU,53.51,142.97,39.0,39.0,74,60,9.4,0,0
144,Iberia,US,29.95,-91.75,66.2,63.0,55,90,11.41,0,0
145,Cejkovice,CZ,48.91,16.94,66.2,60.01,42,100,3.36,0,0
146,Seddon,AU,-37.81,144.89,50.0,44.01,81,40,12.75,0,0
147,Nikolsk,RU,53.72,46.07,47.86,47.86,93,100,11.41,0,0
148,Goundam,ML,16.41,-3.67,92.84,92.84,10,5,11.48,0,0
149,Sao Filipe,CV,14.9,-24.5,74.03,74.03,75,97,8.66,0,0
150,Yima,CN,34.74,111.88,60.01,60.01,99,20,7.96,0,0
151,Sur,OM,22.57,59.53,84.2,84.2,47,1,7.74,0,0
152,Kanniyakumari,IN,8.08,77.57,84.31,84.31,80,92,6.29,0,0
153,Nemuro,JP,43.32,145.57,46.83,46.83,73,100,10.89,0,0
154,Havelian,PK,34.05,73.17,73.4,73.4,64,75,23.04,0,0
155,Sobolevo,RU,54.43,31.9,45.19,45.19,85,56,4.56,0,0
156,Cidreira,BR,-30.18,-50.21,63.88,63.88,81,0,8.57,0,0
157,Bairiki,KI,1.33,172.98,86.0,86.0,74,20,8.05,0,0
158,Celestun,MX,20.87,-90.4,81.91,81.91,79,88,14.14,0,0
159,Poum,NC,-20.23,164.02,76.21,76.21,66,0,10.42,0,0
160,Gondar,ET,12.6,37.47,64.56,64.56,60,34,3.6,0,0
161,Morros,BR,-9.45,-46.3,73.44,73.44,90,100,7.16,0,0
162,Chuy,UY,-33.7,-53.46,56.28,56.28,72,65,7.05,0,0
163,Sorland,NO,67.67,12.69,33.58,33.58,80,96,6.89,0,0
164,Kargasok,RU,59.06,80.86,58.53,58.53,59,85,5.88,0,0
165,Esmeralda,CU,21.85,-78.12,78.8,78.8,78,96,10.29,0,0
166,Yerbogachen,RU,61.28,108.01,48.69,48.69,94,100,10.07,0,0
167,Awjilah,LY,29.11,21.29,68.36,68.36,23,10,6.93,0,0
168,Bilibino,RU,68.05,166.44,37.33,37.33,80,100,9.1,0,0
169,Nynashamn,SE,58.9,17.95,43.0,41.0,83,23,11.63,0,0
170,Hambantota,LK,6.12,81.12,80.8,80.8,85,100,5.82,0,0
171,Tambovka,RU,50.1,128.05,46.4,46.4,75,0,4.47,0,0
172,Buraydah,SA,26.33,43.98,80.6,80.6,69,75,13.87,0,0
173,Ancud,CL,-41.87,-73.82,48.99,48.2,87,75,9.17,0,0
