City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
326,Itarema,BR,78.17,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
330,Sungai Besar,MY,78.8,3.67,100.99,NIDA Rooms Sabak Bernam Comfort
333,Minab,IR,78.8,27.15,57.08,فروشگاه موبایل ترکمانی
335,Grand-Santi,GF,74.26,4.25,-54.38,Hotel La Villa Couacou
336,Parakou,BJ,75.47,9.34,2.63,Benin Metropole Hotel
337,Namatanai,PG,85.91,-3.67,152.43,Namatanai Hotel
344,Kelo,TD,85.15,9.31,15.81,Hotel Saint Boumayo
345,Alamosa,US,73.4,37.47,-105.87,Best Western Alamosa Inn
346,Nurota,UZ,60.8,40.56,65.69,Guest House Ruslan Nurata & Tours
347,Ugoofaaru,MV,83.93,5.67,73.0,Ungoofaaru Inn
348,Cap Malheureux,MU,71.01,-19.98,57.61,Canonnier Beachcomber Golf Resort & Spa
349,Sao Gabriel Da Cachoeira,BR,82.4,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
352,Conakry,GN,81.09,9.54,-13.68,Golden Plazza
353,Presidencia Roque Saenz Pena,AR,63.19,-26.79,-60.44,Hotel Aconcagua
355,North Ogden,US,72.0,41.31,-111.96,Best Western Plus High Country Inn
357,Sola,VU,82.4,-13.88,167.55,Leumerus Bungalows
358,Victoria,HK,84.0,22.29,114.16,Mini Hotel Central
359,Manokwari,ID,83.55,-0.87,134.08,Swiss Belhotel Manokwari
360,Bentiu,SS,84.61,9.23,29.83,Mandela hôtel
361,Ko Samui,TH,86.0,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
364,Namibe,AO,80.67,-15.2,12.15,Chik-Chik Namibe
365,Carutapera,BR,76.87,-1.2,-46.02,Lidera
